ID,Month,Day,minmax,Date,Level(m)
01AD004,9,28,min,1980-09-28,134.31798999999998
01AD004,9,28,max,2019-09-28,136.843
01AD004,9,29,min,1980-09-29,134.297
01AD004,9,29,max,2019-09-29,136.42
01AD004,9,30,min,1980-09-30,134.28999
01AD004,9,30,max,2019-09-30,136.15198999999998
01AD004,10,1,min,1980-10-01,134.27901
01AD004,10,1,max,2019-10-01,135.981
01AD004,10,2,min,1980-10-02,134.26601000000002
01AD004,10,2,max,2019-10-02,136.40401
01AD004,10,3,min,1980-10-03,134.27
01AD004,10,3,max,2019-10-03,136.841
01AD004,10,4,min,1980-10-04,134.27
01AD004,10,4,max,2019-10-04,136.515
01AD004,10,5,min,1980-10-05,134.31599
01AD004,10,5,max,2019-10-05,136.11
01AD004,10,6,min,1980-10-06,134.31798999999998
01AD004,10,6,max,2019-10-06,135.89
01AD004,10,7,min,1980-10-07,134.30499
01AD004,10,7,max,2019-10-07,135.86099
01AD004,10,8,min,1980-10-08,134.295
01AD004,10,8,max,2019-10-08,136.298
01AD004,10,9,min,1980-10-09,134.283
01AD004,10,9,max,2019-10-09,136.687
01AD004,10,10,min,1980-10-10,134.283
01AD004,10,10,max,2019-10-10,136.808
01AD004,10,11,min,1980-10-11,134.28
01AD004,10,11,max,2019-10-11,136.57899
01AD004,10,12,min,1980-10-12,134.27698999999998
01AD004,10,12,max,2019-10-12,136.36700000000002
01AD004,10,13,min,1980-10-13,134.27698999999998
01AD004,10,13,max,2019-10-13,136.211
01AD004,10,14,min,1980-10-14,134.28999
01AD004,10,14,max,2019-10-14,136.08701000000002
01AD004,10,15,min,1980-10-15,134.274
01AD004,10,15,max,2019-10-15,136.149
01AD004,10,16,min,1980-10-16,134.27299
01AD004,10,16,max,2019-10-16,136.078
01AD004,10,17,min,1980-10-17,134.32899
01AD004,10,17,max,2019-10-17,135.94501
01AD004,10,18,min,1980-10-18,134.312
01AD004,10,18,max,2019-10-18,135.84801000000002
